row_id,content_id,title,content_type,genre,original_language,release_date,report_month,country,region,available_globally,subscription_tier,primary_device,runtime_minutes,season_count,episode_count,views,hours_viewed,completion_rate,user_rating,estimated_revenue_usd,title_age_months
22,SW0158,Golden Code 158,Series,Drama,Spanish,2025-04-05,2026-02-01,United States,North America,True,Ad-Supported,Web,35,1,8,163024,546920,0.719,7.4,2883.87,10
23,SW0068,Hidden Kingdom,Series,Action,English,2025-10-01,2026-05-01,Canada,North America,True,Ad-Supported,Smart Tv,40,1,9,36023,159753,0.739,8.0,675.01,7
25,SW0095,Electric Kingdom,Movie,Documentary,English,2023-11-04,2026-05-01,Japan,Asia,True,Premium,Smart Tv,78,0,1,22857,16471,0.554,7.2,342.97,30
26,SW0022,Broken Crown 22,Movie,Thriller,German,2022-09-26,2025-05-01,United States,North America,True,Standard,Tablet,89,0,1,46948,46270,0.664,7.6,513.34,32
28,SW0088,Broken Summer,Movie,Thriller,English,2022-07-15,2025-08-01,Canada,North America,True,Standard,Tablet,140,0,1,48787,91480,0.804,6.7,556.18,37
29,SW0001,Midnight Promise,Series,Animation,Portuguese,2025-07-10,2025-12-01,Brazil,Latin America,False,Premium,Mobile,44,3,12,50570,367019,0.825,7.8,831.07,5
30,SW0083,Silent Witness 83,Movie,Thriller,English,2024-06-20,2025-11-01,Japan,Asia,True,Ad-Supported,Web,85,0,1,36011,41700,0.817,6.4,702.66,17
31,SW0173,Northern Witness 173,Series,Animation,English,2022-09-17,2025-04-01,United States,North America,False,Ad-Supported,Mobile,51,2,6,38339,147345,0.754,7.0,700.84,31
32,SW0030,Last Road,Movie,Sci-Fi,German,2023-09-01,2025-08-01,United Kingdom,Europe,True,Ad-Supported,Mobile,140,0,1,21904,43417,0.849,7.9,392.64,23
33,SW0134,Midnight Crown 134,Movie,Comedy,English,2022-11-04,2025-01-01,United States,North America,True,Premium,Smart Tv,136,0,1,68661,93772,0.603,6.1,1012.75,26
34,SW0007,Broken Witness,Series,Thriller,Korean,2023-03-06,2025-12-01,South Africa,Africa,False,Standard,Mobile,35,1,8,14205,56964,0.859,7.3,171.2,33
35,SW0094,Northern Promise 94,Series,Drama,English,2022-04-07,2026-02-01,Japan,Asia,False,Premium,Game Console,55,2,11,53376,455100,0.846,6.1,859.01,46
36,SW0034,Broken Kingdom,Series,Comedy,French,2025-08-10,2026-05-01,Canada,North America,True,Standard,Mobile,47,2,9,70161,436174,0.882,6.3,840.94,9
37,SW0172,Last Fire 172,Series,Animation,Korean,2022-12-27,2025-02-01,South Korea,Asia,False,Standard,Smart Tv,39,2,8,71326,314058,0.847,6.7,808.63,26
38,SW0112,Silent Code,Movie,Thriller,English,2022-12-24,2025-06-01,United States,North America,False,Ad-Supported,Smart Tv,123,0,1,55865,78109,0.682,6.1,1091.09,30
39,SW0064,Broken Road,Series,Comedy,English,2025-07-17,2025-10-01,Nigeria,Africa,True,Premium,Mobile,47,4,7,173452,859217,0.903,6.3,2809.9,3
40,SW0123,Midnight Fire 123,Movie,Romance,English,2022-02-11,2025-07-01,South Africa,Africa,True,Premium,Smart Tv,93,0,1,66309,70381,0.685,8.3,1021.78,41
41,SW0083,Silent Witness 83,Movie,Thriller,English,2024-06-20,2025-07-01,United States,North America,True,Ad-Supported,Mobile,85,0,1,41088,32292,0.555,7.2,726.25,13
42,SW0155,Midnight Echo 155,Movie,Crime,English,2025-12-15,2026-04-01,Canada,North America,True,Ad-Supported,Smart Tv,144,0,1,21732,30408,0.583,6.8,384.12,4
43,SW0124,Second Echo 124,Movie,Sci-Fi,Spanish,2022-03-25,2025-11-01,Japan,Asia,True,Ad-Supported,Mobile,89,0,1,53194,46357,0.588,7.1,947.93,44
44,SW0162,Golden Witness 162,Movie,Crime,Japanese,2022-06-02,2026-01-01,United States,North America,False,Ad-Supported,Smart Tv,114,0,1,48836,55924,0.603,7.6,848.28,43
45,SW0057,Broken Fire,Movie,Crime,English,2022-12-03,2026-02-01,Nigeria,Africa,True,Standard,Mobile,114,0,1,27900,36985,0.698,6.6,325.71,38
46,SW0028,Golden Promise,Movie,Action,English,2023-05-12,2026-02-01,United Kingdom,Europe,True,Ad-Supported,Tablet,87,0,1,8419,9721,0.796,7.3,148.33,33
47,SW0028,Golden Promise,Movie,Action,English,2023-05-12,2026-06-01,Nigeria,Africa,True,Premium,Mobile,87,0,1,9682,9183,0.654,7.9,169.5,37
48,SW0054,Golden Code 54,Series,Comedy,English,2022-08-11,2026-01-01,India,Asia,True,Premium,Smart Tv,51,4,12,26125,172752,0.648,7.1,454.37,41
49,SW0118,Wild Summer,Movie,Drama,English,2023-09-21,2025-06-01,India,Asia,True,Standard,Web,90,0,1,40254,31592,0.523,6.8,483.23,21
50,SW0173,Northern Witness 173,Series,Animation,English,2022-09-17,2025-01-01,Mexico,Latin America,False,Standard,Web,51,2,6,5793,19571,0.662,6.7,65.5,28
51,SW0143,Midnight Pulse,Series,Action,Korean,2025-07-10,2025-11-01,Canada,North America,False,Ad-Supported,Smart Tv,57,1,10,19671,152372,0.815,8.6,354.98,4
52,SW0135,Silent Summer,Series,Action,English,2025-07-12,2025-12-01,Brazil,Latin America,True,Ad-Supported,Smart Tv,47,4,7,148370,620484,0.763,8.0,2876.54,5
53,SW0002,Wild Crown,Movie,Drama,English,2023-11-20,2026-03-01,Canada,North America,True,Ad-Supported,Mobile,83,0,1,19021,22391,0.851,6.3,376.48,28
54,SW0098,Last Summer,Series,Animation,English,2023-11-06,2025-05-01,United States,North America,True,Standard,Smart Tv,61,4,7,38889,224908,0.813,6.5,489.06,18
55,SW0154,Broken Echo,Movie,Comedy,English,2022-09-14,2025-05-01,South Korea,Asia,True,Ad-Supported,Mobile,112,0,1,78107,103789,0.712,8.1,1319.28,32
56,SW0172,Last Fire 172,Series,Animation,Korean,2022-12-27,2026-04-01,United States,North America,False,Ad-Supported,Smart Tv,39,2,8,60867,201226,0.636,6.8,1128.8,40
57,SW0026,Broken Signal,Series,Documentary,Spanish,2024-06-05,2025-02-01,Canada,North America,True,Premium,Smart Tv,43,1,9,137493,649683,0.733,6.3,2350.67,8
58,SW0032,Last Pulse,Series,Crime,Korean,2025-05-11,2025-08-01,Canada,North America,True,Ad-Supported,Smart Tv,49,1,12,112864,769630,0.696,6.4,2075.87,3
59,SW0123,Midnight Fire 123,Movie,Romance,English,2022-02-11,2025-01-01,Nigeria,Africa,True,Standard,Smart Tv,93,0,1,41751,42510,0.657,7.7,550.23,35
60,SW0135,Silent Summer,Series,Action,English,2025-07-12,2026-02-01,South Africa,Africa,True,Ad-Supported,Smart Tv,47,4,7,35554,143640,0.737,6.3,616.42,7
61,SW0020,Hidden Pulse,Movie,Action,English,2024-03-08,2025-12-01,India,Asia,True,Standard,Mobile,99,0,1,31415,34452,0.665,6.5,392.26,21
64,SW0088,Broken Summer,Movie,Thriller,English,2022-07-15,2025-05-01,Japan,Asia,True,Premium,Tablet,140,0,1,37159,66228,0.764,6.7,630.44,34
65,SW0043,Broken Crown 43,Series,Comedy,Hindi,2023-09-28,2026-05-01,United States,North America,True,Standard,Smart Tv,53,4,9,16942,96349,0.715,7.3,196.2,32
66,SW0108,Northern Summer 108,Series,Action,Spanish,2023-08-12,2025-12-01,Spain,Europe,False,Premium,Smart Tv,55,1,11,33802,251465,0.738,7.5,574.27,28
68,SW0171,Hidden Crown 171,Movie,Sci-Fi,German,2023-06-09,2025-09-01,South Africa,Africa,False,Standard,Mobile,140,0,1,12784,24930,0.836,7.5,154.42,27
69,SW0160,Silent Pulse,Movie,Drama,English,2023-11-24,2025-01-01,United Kingdom,Europe,True,Ad-Supported,Web,83,0,1,110171,93347,0.613,6.7,1899.08,14
70,SW0103,Wild Crown 103,Series,Drama,Hindi,2022-11-28,2025-11-01,Mexico,Latin America,True,Ad-Supported,Web,31,4,10,53179,215680,0.785,6.2,891.93,36
71,SW0142,Wild Promise 142,Movie,Crime,English,2023-06-22,2025-05-01,Canada,North America,False,Ad-Supported,Web,143,0,1,9402,14768,0.659,7.2,174.81,23
72,SW0099,Electric Code,Movie,Comedy,Spanish,2025-04-16,2025-06-01,India,Asia,False,Premium,Mobile,110,0,1,244868,273548,0.609,6.9,3831.16,2
73,SW0020,Hidden Pulse,Movie,Action,English,2024-03-08,2025-01-01,Brazil,Latin America,True,Premium,Web,99,0,1,80631,90688,0.682,6.5,1224.85,10
75,SW0063,Electric Promise 63,Movie,Thriller,Spanish,2025-01-29,2025-09-01,Mexico,Latin America,True,Standard,Game Console,85,0,1,35864,21714,0.427,6.4,420.69,8
76,SW0084,Last Promise,Movie,Documentary,Korean,2023-08-20,2025-05-01,Nigeria,Africa,True,Ad-Supported,Web,99,0,1,18174,21332,0.711,7.3,302.44,21
77,SW0080,Wild Promise,Series,Drama,English,2022-07-04,2025-10-01,Japan,Asia,True,Ad-Supported,Smart Tv,29,4,11,48295,224770,0.875,6.5,874.74,39
78,SW0006,Golden Crown,Series,Crime,Korean,2022-09-02,2025-08-01,Mexico,Latin America,True,Standard,Mobile,50,4,7,38467,128452,0.572,6.9,450.13,35
79,SW0084,Last Promise,Movie,Documentary,Korean,2023-08-20,2025-06-01,India,Asia,True,Standard,Mobile,99,0,1,45808,46176,0.611,6.6,566.52,22
81,SW0161,Midnight Crown 161,Movie,Action,Korean,2023-03-19,2025-08-01,Nigeria,Africa,True,Ad-Supported,Web,101,0,1,9779,10728,0.652,6.6,193.38,29
82,SW0110,Infinite Road,Movie,Animation,Japanese,2024-06-05,2025-02-01,Canada,North America,True,Premium,Mobile,130,0,1,121917,144207,0.546,6.6,2125.86,8
83,SW0080,Wild Promise,Series,Drama,English,2022-07-04,2026-02-01,South Korea,Asia,True,Standard,Tablet,29,4,11,28623,118982,0.782,6.7,327.35,43
84,SW0123,Midnight Fire 123,Movie,Romance,English,2022-02-11,2025-08-01,United States,North America,True,Ad-Supported,Game Console,93,0,1,287199,274875,0.617,7.3,5183.89,42
85,SW0011,Midnight Witness,Series,Romance,English,2022-06-08,2025-01-01,India,Asia,False,Standard,Mobile,36,4,6,69248,182083,0.73,6.8,905.7,31
87,SW0123,Midnight Fire 123,Movie,Romance,English,2022-02-11,2025-11-01,United Kingdom,Europe,True,Ad-Supported,Smart Tv,93,0,1,28270,25907,0.591,8.4,477.89,45
88,SW0135,Silent Summer,Series,Action,English,2025-07-12,2026-04-01,Spain,Europe,True,Ad-Supported,Smart Tv,47,4,7,40057,178675,0.813,7.8,748.53,9
89,SW0108,Northern Summer 108,Series,Action,Spanish,2023-08-12,2025-06-01,Brazil,Latin America,False,Ad-Supported,Tablet,55,1,11,23024,177782,0.766,6.9,455.61,22
90,SW0094,Northern Promise 94,Series,Drama,English,2022-04-07,2025-01-01,South Korea,Asia,False,Ad-Supported,Web,55,2,11,26865,210057,0.775,6.6,499.11,33
91,SW0148,Crimson Road,Series,Crime,Spanish,2024-10-24,2025-05-01,Australia,Oceania,True,Standard,Smart Tv,22,3,9,8467,19372,0.693,7.7,104.47,7
92,SW0063,Electric Promise 63,Movie,Thriller,Spanish,2025-01-29,2025-06-01,Mexico,Latin America,True,Premium,Smart Tv,85,0,1,77892,71962,0.652,8.1,1155.07,5
93,SW0118,Wild Summer,Movie,Drama,English,2023-09-21,2025-02-01,Australia,Oceania,True,Ad-Supported,Mobile,90,0,1,23216,26202,0.752,6.3,435.81,17
95,SW0060,Hidden Code,Series,Sci-Fi,German,2023-10-26,2025-03-01,Nigeria,Africa,False,Premium,Mobile,62,1,10,51194,377010,0.713,8.0,871.4,17
96,SW0009,Electric Summer,Movie,Romance,English,2025-05-22,2025-08-01,South Africa,Africa,True,Standard,Smart Tv,106,0,1,125246,146667,0.663,8.3,1475.14,3
97,SW0017,Second Fire,Series,Documentary,Japanese,2022-02-01,2025-04-01,Germany,Europe,False,Standard,Smart Tv,24,3,7,19245,51294,0.952,6.5,236.21,38
99,SW0045,Hidden Summer 45,Movie,Drama,Japanese,2024-02-29,2025-01-01,Germany,Europe,False,Ad-Supported,Smart Tv,90,0,1,7056,7812,0.738,7.3,126.47,11
100,SW0104,Hidden Fire 104,Movie,Documentary,Hindi,2023-12-13,2026-03-01,Spain,Europe,False,Premium,Smart Tv,90,0,1,31972,27486,0.573,7.1,498.15,27
101,SW0089,Hidden Road 89,Movie,Comedy,English,2022-06-18,2025-01-01,South Korea,Asia,True,Premium,Smart Tv,131,0,1,18430,28620,0.711,7.4,303.92,31
102,SW0159,Silent Signal 159,Movie,Romance,English,2025-01-13,2026-03-01,United States,North America,True,Standard,Smart Tv,81,0,1,58973,43825,0.55,7.7,720.47,14
103,SW0154,Broken Echo,Movie,Comedy,English,2022-09-14,2025-04-01,Brazil,Latin America,True,Standard,Game Console,112,0,1,19381,25348,0.701,7.7,210.23,31
104,SW0161,Midnight Crown 161,Movie,Action,Korean,2023-03-19,2025-02-01,United Kingdom,Europe,True,Standard,Smart Tv,101,0,1,24706,27861,0.67,6.6,312.12,23
105,SW0096,Last Kingdom 96,Movie,Drama,English,2022-01-15,2025-10-01,France,Europe,True,Ad-Supported,Mobile,127,0,1,13592,19443,0.676,8.1,248.76,45
107,SW0162,Golden Witness 162,Movie,Crime,Japanese,2022-06-02,2025-08-01,United States,North America,False,Standard,Smart Tv,114,0,1,75988,115740,0.802,6.9,848.5,38
108,SW0123,Midnight Fire 123,Movie,Romance,English,2022-02-11,2025-02-01,Brazil,Latin America,True,Standard,Mobile,93,0,1,54838,55383,0.652,8.7,663.75,36
109,SW0094,Northern Promise 94,Series,Drama,English,2022-04-07,2025-04-01,United States,North America,False,Standard,Web,55,2,11,60868,475746,0.775,7.1,677.24,36
110,SW0060,Hidden Code,Series,Sci-Fi,German,2023-10-26,2025-09-01,Spain,Europe,False,Ad-Supported,Smart Tv,62,1,10,63517,482098,0.735,8.1,1170.8,23
111,SW0006,Golden Crown,Series,Crime,Korean,2022-09-02,2025-12-01,Mexico,Latin America,True,Premium,Mobile,50,4,7,56727,298119,0.901,7.7,869.08,39
112,SW0069,Midnight Signal,Movie,Crime,English,2024-03-31,2025-01-01,Mexico,Latin America,False,Standard,Smart Tv,131,0,1,17047,22643,0.608,6.2,202.59,10
113,SW0012,Broken Crown,Movie,Crime,French,2022-04-02,2026-04-01,Germany,Europe,True,Ad-Supported,Web,148,0,1,42853,75835,0.717,7.4,794.55,48
115,SW0084,Last Promise,Movie,Documentary,Korean,2023-08-20,2026-04-01,Brazil,Latin America,True,Standard,Smart Tv,99,0,1,47786,40646,0.516,7.8,598.82,32
117,SW0099,Electric Code,Movie,Comedy,Spanish,2025-04-16,2026-01-01,South Korea,Asia,False,Standard,Mobile,110,0,1,18112,19256,0.58,7.6,223.17,9
118,SW0024,Infinite Echo,Movie,Action,English,2022-05-23,2025-05-01,Australia,Oceania,True,Standard,Smart Tv,127,0,1,31126,53678,0.815,6.1,345.91,36
119,SW0098,Last Summer,Series,Animation,English,2023-11-06,2025-05-01,France,Europe,True,Standard,Smart Tv,61,4,7,20698,141408,0.96,6.6,269.79,18
120,SW0089,Hidden Road 89,Movie,Comedy,English,2022-06-18,2026-06-01,United Kingdom,Europe,True,Ad-Supported,Smart Tv,131,0,1,25490,33819,0.608,7.6,448.95,48
121,SW0052,Golden Echo,Series,Romance,English,2022-10-05,2025-12-01,Germany,Europe,False,Standard,Mobile,61,3,11,6052,44330,0.655,6.2,71.27,38
122,SW0031,Golden Code,Series,Thriller,Korean,2024-04-10,2026-03-01,Nigeria,Africa,False,Premium,Web,61,3,8,14978,115863,0.951,6.5,241.77,23
123,SW0128,Midnight Kingdom 128,Movie,Animation,English,2022-02-19,2025-11-01,Canada,North America,False,Standard,Game Console,141,0,1,19621,30762,0.667,7.8,244.46,45
124,SW0039,Hidden Summer,Movie,Drama,English,2025-03-06,2025-06-01,France,Europe,False,Standard,Mobile,106,0,1,36553,44193,0.684,6.3,403.95,3
125,SW0139,Second Signal 139,Series,Crime,Portuguese,2024-09-14,2025-11-01,France,Europe,True,Standard,Smart Tv,29,2,10,65244,241765,0.767,8.5,860.01,14
127,SW0070,Last Fire,Movie,Comedy,Spanish,2023-06-01,2026-01-01,United States,North America,True,Ad-Supported,Smart Tv,141,0,1,5323,8719,0.697,6.3,104.19,31
128,SW0064,Broken Road,Series,Comedy,English,2025-07-17,2026-06-01,Japan,Asia,True,Standard,Game Console,47,4,7,26681,117196,0.801,7.0,303.71,11
129,SW0043,Broken Crown 43,Series,Comedy,Hindi,2023-09-28,2025-07-01,South Korea,Asia,True,Premium,Tablet,53,4,9,4721,30608,0.816,6.6,79.54,22
130,SW0113,Northern Witness 113,Movie,Drama,Spanish,2025-10-28,2026-03-01,France,Europe,True,Premium,Smart Tv,103,0,1,54410,76505,0.819,7.4,808.89,5
131,SW0164,Electric Witness,Movie,Crime,Korean,2022-02-16,2026-02-01,France,Europe,True,Ad-Supported,Web,113,0,1,24258,25387,0.556,5.7,414.02,48
132,SW0012,Broken Crown,Movie,Crime,French,2022-04-02,2025-09-01,Japan,Asia,True,Standard,Smart Tv,148,0,1,29125,62390,0.868,6.6,336.32,41
133,SW0151,Second Signal 151,Movie,Action,Spanish,2024-04-23,2025-04-01,Mexico,Latin America,False,Ad-Supported,Tablet,114,0,1,26272,29968,0.6,6.9,444.95,12
134,SW0086,Second Echo 86,Movie,Romance,Japanese,2024-09-20,2025-12-01,Germany,Europe,False,Standard,Game Console,109,0,1,41314,71202,0.949,7.8,467.65,15
135,SW0010,Hidden Witness,Series,Thriller,Hindi,2023-11-30,2025-05-01,Canada,North America,True,Ad-Supported,Mobile,33,3,11,24242,91704,0.625,6.7,412.02,18
136,SW0154,Broken Echo,Movie,Comedy,English,2022-09-14,2025-05-01,France,Europe,True,Ad-Supported,Tablet,112,0,1,30102,41933,0.746,7.8,559.17,32
137,SW0139,Second Signal 139,Series,Crime,Portuguese,2024-09-14,2025-04-01,Brazil,Latin America,True,Standard,Tablet,29,2,10,142555,537694,0.78,7.8,1814.17,7
139,SW0139,Second Signal 139,Series,Crime,Portuguese,2024-09-14,2025-10-01,Australia,Oceania,True,Premium,Game Console,29,2,10,26927,99297,0.763,6.6,398.0,13
140,SW0106,Broken Signal 106,Movie,Comedy,Japanese,2023-07-22,2026-06-01,Canada,North America,True,Standard,Smart Tv,108,0,1,19910,20821,0.581,7.7,218.34,35
141,SW0058,Broken Kingdom 58,Series,Crime,Hindi,2023-10-11,2026-02-01,Spain,Europe,True,Premium,Mobile,42,1,10,15598,60293,0.552,7.2,231.59,28
142,SW0088,Broken Summer,Movie,Thriller,English,2022-07-15,2026-02-01,Germany,Europe,True,Standard,Smart Tv,140,0,1,70446,124225,0.756,7.5,763.31,43
143,SW0110,Infinite Road,Movie,Animation,Japanese,2024-06-05,2025-06-01,India,Asia,True,Standard,Mobile,130,0,1,121189,184248,0.702,8.1,1537.74,12
144,SW0110,Infinite Road,Movie,Animation,Japanese,2024-06-05,2025-09-01,United States,North America,True,Standard,Web,130,0,1,110152,158776,0.665,6.8,1333.39,15
146,SW0180,Second Summer 180,Movie,Comedy,English,2025-04-08,2026-03-01,United States,North America,False,Standard,Mobile,138,0,1,47415,74326,0.682,6.9,608.21,11
147,SW0005,Wild Crown 5,Movie,Romance,English,2022-12-04,2025-09-01,Brazil,Latin America,True,Ad-Supported,Smart Tv,81,0,1,55924,45419,0.602,7.5,913.12,33
148,SW0002,Wild Crown,Movie,Drama,English,2023-11-20,2025-06-01,Canada,North America,True,Premium,Smart Tv,83,0,1,61198,46707,0.552,7.6,1036.99,19
149,SW0034,Broken Kingdom,Series,Comedy,French,2025-08-10,2026-02-01,Canada,North America,True,Standard,Smart Tv,47,2,9,60274,282987,0.666,7.1,761.76,6
150,SW0012,Broken Crown,Movie,Crime,French,2022-04-02,2025-02-01,United States,North America,True,Ad-Supported,Mobile,148,0,1,57548,108379,0.763,6.4,1013.15,34
151,SW0163,Midnight Fire 163,Series,Animation,English,2025-10-14,2025-12-01,Germany,Europe,False,Standard,Smart Tv,55,4,9,138941,957669,0.835,7.7,1602.24,2
153,SW0172,Last Fire 172,Series,Animation,Korean,2022-12-27,2026-05-01,Mexico,Latin America,False,Ad-Supported,Mobile,39,2,8,21320,102216,0.922,7.6,388.84,41
154,SW0047,Hidden Fire,Series,Sci-Fi,English,2023-11-26,2026-06-01,Brazil,Latin America,False,Standard,Mobile,36,1,6,9853,27172,0.766,6.2,126.33,31
155,SW0086,Second Echo 86,Movie,Romance,Japanese,2024-09-20,2025-07-01,Spain,Europe,False,Premium,Mobile,109,0,1,21344,26367,0.68,6.6,356.53,10
156,SW0061,Midnight Fire,Series,Sci-Fi,Korean,2024-12-28,2025-06-01,Canada,North America,True,Premium,Game Console,56,2,11,46735,299628,0.624,6.7,724.84,6
157,SW0057,Broken Fire,Movie,Crime,English,2022-12-03,2026-06-01,Nigeria,Africa,True,Standard,Web,114,0,1,29689,48289,0.856,7.9,371.81,42
158,SW0010,Hidden Witness,Series,Thriller,Hindi,2023-11-30,2026-05-01,India,Asia,True,Premium,Mobile,33,3,11,58454,289791,0.819,6.6,1009.23,30
159,SW0149,Golden Witness,Movie,Action,English,2023-12-26,2025-05-01,Spain,Europe,True,Ad-Supported,Web,134,0,1,13276,19732,0.666,6.1,228.4,17
160,SW0073,Crimson Signal,Series,Action,English,2025-03-03,2026-03-01,India,Asia,True,Premium,Mobile,37,3,10,182249,853255,0.759,8.6,2846.18,12
161,SW0112,Silent Code,Movie,Thriller,English,2022-12-24,2025-12-01,Germany,Europe,False,Standard,Smart Tv,123,0,1,35697,55494,0.758,7.9,400.19,36
162,SW0149,Golden Witness,Movie,Action,English,2023-12-26,2025-12-01,India,Asia,True,Standard,Smart Tv,134,0,1,60666,100913,0.745,7.5,786.74,24
163,SW0102,Hidden Pulse 102,Movie,Drama,Japanese,2023-10-10,2025-12-01,Nigeria,Africa,True,Ad-Supported,Smart Tv,87,0,1,47942,43806,0.63,6.4,843.85,26
164,SW0009,Electric Summer,Movie,Romance,English,2025-05-22,2025-08-01,United States,North America,True,Ad-Supported,Web,106,0,1,147316,197346,0.758,7.8,2744.31,3
165,SW0056,Midnight Summer 56,Movie,Action,German,2024-12-18,2025-10-01,Nigeria,Africa,True,Standard,Mobile,139,0,1,38044,60568,0.687,7.2,497.68,10
166,SW0150,Broken Signal 150,Series,Drama,German,2025-03-01,2026-03-01,South Korea,Asia,True,Standard,Smart Tv,45,2,9,70572,348958,0.733,7.8,781.33,12
167,SW0160,Silent Pulse,Movie,Drama,English,2023-11-24,2025-03-01,Germany,Europe,True,Premium,Smart Tv,83,0,1,14769,9913,0.485,7.4,219.12,16
168,SW0073,Crimson Signal,Series,Action,English,2025-03-03,2026-05-01,Mexico,Latin America,True,Standard,Mobile,37,3,10,23067,121803,0.856,7.5,286.37,14
169,SW0008,Northern Pulse,Movie,Action,English,2024-02-02,2025-08-01,Brazil,Latin America,True,Ad-Supported,Smart Tv,79,0,1,47416,39081,0.626,7.1,808.37,18
170,SW0137,Infinite Echo 137,Series,Drama,English,2023-03-01,2025-03-01,Japan,Asia,True,Standard,Smart Tv,55,1,7,12748,54769,0.67,7.3,158.28,24
171,SW0009,Electric Summer,Movie,Romance,English,2025-05-22,2025-12-01,Brazil,Latin America,True,Standard,Web,106,0,1,210910,242939,0.652,7.5,2647.97,7
172,SW0087,Silent Signal,Series,Animation,Spanish,2022-03-14,2026-05-01,United Kingdom,Europe,False,Ad-Supported,Mobile,26,1,7,17663,35956,0.671,5.8,289.32,50
173,SW0172,Last Fire 172,Series,Animation,Korean,2022-12-27,2025-11-01,United Kingdom,Europe,False,Premium,Web,39,2,8,41593,185507,0.858,7.5,660.49,35
174,SW0126,Electric Kingdom 126,Movie,Action,Spanish,2023-04-26,2025-06-01,United Kingdom,Europe,True,Standard,Mobile,107,0,1,29546,39317,0.746,7.2,381.55,26
175,SW0078,Second Echo,Movie,Drama,Hindi,2024-09-14,2025-10-01,Nigeria,Africa,True,Standard,Smart Tv,94,0,1,28466,34969,0.784,6.7,355.6,13
176,SW0002,Wild Crown,Movie,Drama,English,2023-11-20,2025-08-01,Spain,Europe,True,Ad-Supported,Smart Tv,83,0,1,74762,87712,0.848,8.5,1467.16,21
177,SW0047,Hidden Fire,Series,Sci-Fi,English,2023-11-26,2025-01-01,United Kingdom,Europe,False,Ad-Supported,Smart Tv,36,1,6,36822,116376,0.878,7.5,681.7,14
179,SW0178,Wild Harbor,Movie,Romance,Korean,2022-06-06,2026-02-01,Spain,Europe,True,Premium,Web,78,0,1,4655,4455,0.736,7.1,80.98,44
