row_id,content_id,title,content_type,genre,original_language,release_date,report_month,country,region,available_globally,subscription_tier,primary_device,runtime_minutes,season_count,episode_count,views,hours_viewed,completion_rate,user_rating,estimated_revenue_usd
23,SW0068,Hidden Kingdom,Series,Action,English,2025-10-01,2026-05-01,Canada,North America,Yes,Ad-Supported,Smart TV,40,1,9,36023,159753,0.739,8.0,675.01
24,SW0021,Midnight Echo,Movie,Documentary,Korean,2025-03-08,2025-01-01,Spain,Europe,Yes,Standard,Smart TV,137,0,1,68268,82140,0.527,6.5,788.57
25,SW0095,Electric Kingdom,Movie,Documentary,English,2023-11-04,2026-05-01,Japan,Asia,Yes,Premium,Smart TV,78,0,1,22857,16471,0.554,7.2,342.97
26,SW0022,Broken Crown 22,Movie,Thriller,German,2022-09-26,2025-05-01,United States,North America,Yes,Standard,Tablet,89,0,1,46948,46270,0.664,7.6,513.34
27,SW0079,Northern Promise 79,Movie,Sci-Fi,English,2025-09-11,2025-01-01,South Korea,Asia,No,Premium,Mobile,105,0,1,176800,153888,0.497,8.1,2662.17
28,SW0088,Broken Summer,Movie,Thriller,English,2022-07-15,2025-08-01,Canada,North America,Yes,Standard,Tablet,140,0,1,48787,91480,0.804,6.7,556.18
29,SW0001,Midnight Promise,Series,Animation,Portuguese,2025-07-10,2025-12-01,Brazil,Latin America,No,Premium,Mobile,44,3,12,50570,367019,0.825,7.8,831.07
30,SW0083,Silent Witness 83,Movie,Thriller,English,2024-06-20,2025-11-01,Japan,Asia,Yes,Ad-Supported,Web,85,0,1,36011,41700,0.817,6.4,702.66
31,SW0173,Northern Witness 173,Series,Animation,English,2022-09-17,2025-04-01,United States,North America,No,Ad-Supported,Mobile,51,2,6,38339,147345,0.754,7.0,700.84
32,SW0030,Last Road,Movie,Sci-Fi,German,2023-09-01,2025-08-01,United Kingdom,Europe,Yes,Ad-Supported,Mobile,140,0,1,21904,43417,0.849,7.9,392.64
33,SW0134,Midnight Crown 134,Movie,Comedy,English,2022-11-04,2025-01-01,United States,North America,Yes,Premium,Smart TV,136,0,1,68661,93772,0.603,6.1,1012.75
34,SW0007,Broken Witness,Series,Thriller,Korean,2023-03-06,2025-12-01,South Africa,Africa,No,Standard,Mobile,35,1,8,14205,56964,0.859,7.3,171.2
35,SW0094,Northern Promise 94,Series,Drama,English,2022-04-07,2026-02-01,Japan,Asia,No,Premium,Game Console,55,2,11,53376,455100,0.846,6.1,859.01
36,SW0034,Broken Kingdom,Series,Comedy,French,2025-08-10,2026-05-01,Canada,North America,Yes,Standard,Mobile,47,2,9,70161,436174,0.882,6.3,840.94
37,SW0172,Last Fire 172,Series,Animation,Korean,2022-12-27,2025-02-01,South Korea,Asia,No,Standard,Smart TV,39,2,8,71326,314058,0.847,6.7,808.63
38,SW0112,Silent Code,Movie,Thriller,English,2022-12-24,2025-06-01,United States,North America,No,Ad-Supported,Smart TV,123,0,1,55865,78109,0.682,6.1,1091.09
39,SW0064,Broken Road,Series,Comedy,English,2025-07-17,2025-10-01,Nigeria,Africa,Yes,Premium,Mobile,47,4,7,173452,859217,0.903,6.3,2809.9
40,SW0123,Midnight Fire 123,Movie,Romance,English,2022-02-11,2025-07-01,South Africa,Africa,Yes,Premium,Smart TV,93,0,1,66309,70381,0.685,8.3,1021.78
41,SW0083,Silent Witness 83,Movie,Thriller,English,2024-06-20,2025-07-01,United States,North America,Yes,Ad-Supported,Mobile,85,0,1,41088,32292,0.555,7.2,726.25
42,SW0155,Midnight Echo 155,Movie,Crime,English,2025-12-15,2026-04-01,Canada,North America,Yes,Ad-Supported,Smart TV,144,0,1,21732,30408,0.583,6.8,384.12
43,SW0124,Second Echo 124,Movie,Sci-Fi,Spanish,2022-03-25,2025-11-01,Japan,Asia,Yes,Ad-Supported,Mobile,89,0,1,53194,46357,0.588,7.1,947.93
44,SW0162,Golden Witness 162,Movie,Crime,Japanese,2022-06-02,2026-01-01,United States,North America,No,Ad-Supported,Smart TV,114,0,1,48836,55924,0.603,7.6,848.28
45,SW0057,Broken Fire,Movie,Crime,English,2022-12-03,2026-02-01,Nigeria,Africa,Yes,Standard,Mobile,114,0,1,27900,36985,0.698,6.6,325.71
46,SW0028,Golden Promise,Movie,Action,English,2023-05-12,2026-02-01,United Kingdom,Europe,Yes,Ad-Supported,Tablet,87,0,1,8419,9721,0.796,7.3,148.33
47,SW0028,Golden Promise,Movie,Action,English,2023-05-12,2026-06-01,Nigeria,Africa,Yes,Premium,Mobile,87,0,1,9682,9183,0.654,7.9,169.5
48,SW0054,Golden Code 54,Series,Comedy,English,2022-08-11,2026-01-01,India,Asia,Yes,Premium,Smart TV,51,4,12,26125,172752,0.648,7.1,454.37
49,SW0118,Wild Summer,Movie,Drama,English,2023-09-21,2025-06-01,India,Asia,Yes,Standard,Web,90,0,1,40254,31592,0.523,6.8,483.23
50,SW0173,Northern Witness 173,Series,Animation,English,2022-09-17,2025-01-01,Mexico,Latin America,No,Standard,Web,51,2,6,5793,19571,0.662,6.7,65.5
51,SW0143,Midnight Pulse,Series,Action,Korean,2025-07-10,2025-11-01,Canada,North America,No,Ad-Supported,Smart TV,57,1,10,19671,152372,0.815,8.6,354.98
52,SW0135,Silent Summer,Series,Action,English,2025-07-12,2025-12-01,Brazil,Latin America,Yes,Ad-Supported,Smart TV,47,4,7,148370,620484,0.763,8.0,2876.54
53,SW0002,Wild Crown,Movie,Drama,English,2023-11-20,2026-03-01,Canada,North America,Yes,Ad-Supported,Mobile,83,0,1,19021,22391,0.851,6.3,376.48
54,SW0098,Last Summer,Series,Animation,English,2023-11-06,2025-05-01,United States,North America,Yes,Standard,Smart TV,61,4,7,38889,224908,0.813,6.5,489.06
55,SW0154,Broken Echo,Movie,Comedy,English,2022-09-14,2025-05-01,South Korea,Asia,Yes,Ad-Supported,Mobile,112,0,1,78107,103789,0.712,8.1,1319.28
56,SW0172,Last Fire 172,Series,Animation,Korean,2022-12-27,2026-04-01,United States,North America,No,Ad-Supported,Smart TV,39,2,8,60867,201226,0.636,6.8,1128.8
57,SW0026,Broken Signal,Series,Documentary,Spanish,2024-06-05,2025-02-01,Canada,North America,Yes,Premium,Smart TV,43,1,9,137493,649683,0.733,6.3,2350.67
58,SW0032,Last Pulse,Series,Crime,Korean,2025-05-11,2025-08-01,Canada,North America,Yes,Ad-Supported,Smart TV,49,1,12,112864,769630,0.696,6.4,2075.87
59,SW0123,Midnight Fire 123,Movie,Romance,English,2022-02-11,2025-01-01,Nigeria,Africa,Yes,Standard,Smart TV,93,0,1,41751,42510,0.657,7.7,550.23
60,SW0135,Silent Summer,Series,Action,English,2025-07-12,2026-02-01,South Africa,Africa,Yes,Ad-Supported,Smart TV,47,4,7,35554,143640,0.737,6.3,616.42
61,SW0020,Hidden Pulse,Movie,Action,English,2024-03-08,2025-12-01,India,Asia,Yes,Standard,Mobile,99,0,1,31415,34452,0.665,6.5,392.26
62,SW0079,Northern Promise 79,Movie,Sci-Fi,English,2025-09-11,2025-02-01,Mexico,Latin America,No,Premium,Mobile,105,0,1,157143,213193,0.775,7.0,2671.42
63,SW0175,Second Summer,Movie,Documentary,English,2025-12-02,2025-02-01,Japan,Asia,No,Ad-Supported,Smart TV,137,0,1,586662,735293,0.549,7.5,10345.11
64,SW0088,Broken Summer,Movie,Thriller,English,2022-07-15,2025-05-01,Japan,Asia,Yes,Premium,Tablet,140,0,1,37159,66228,0.764,6.7,630.44
65,SW0043,Broken Crown 43,Series,Comedy,Hindi,2023-09-28,2026-05-01,United States,North America,Yes,Standard,Smart TV,53,4,9,16942,96349,0.715,7.3,196.2
66,SW0108,Northern Summer 108,Series,Action,Spanish,2023-08-12,2025-12-01,Spain,Europe,No,Premium,Smart TV,55,1,11,33802,251465,0.738,7.5,574.27
67,SW0135,Silent Summer,Series,Action,English,2025-07-12,2025-03-01,United Kingdom,Europe,Yes,Ad-Supported,Smart TV,47,4,7,104510,377091,0.658,7.1,1801.32
68,SW0171,Hidden Crown 171,Movie,Sci-Fi,German,2023-06-09,2025-09-01,South Africa,Africa,No,Standard,Mobile,140,0,1,12784,24930,0.836,7.5,154.42
69,SW0160,Silent Pulse,Movie,Drama,English,2023-11-24,2025-01-01,United Kingdom,Europe,Yes,Ad-Supported,Web,83,0,1,110171,93347,0.613,6.7,1899.08
70,SW0103,Wild Crown 103,Series,Drama,Hindi,2022-11-28,2025-11-01,Mexico,Latin America,Yes,Ad-Supported,Web,31,4,10,53179,215680,0.785,6.2,891.93
71,SW0142,Wild Promise 142,Movie,Crime,English,2023-06-22,2025-05-01,Canada,North America,No,Ad-Supported,Web,143,0,1,9402,14768,0.659,7.2,174.81
72,SW0099,Electric Code,Movie,Comedy,Spanish,2025-04-16,2025-06-01,India,Asia,No,Premium,Mobile,110,0,1,244868,273548,0.609,6.9,3831.16
73,SW0020,Hidden Pulse,Movie,Action,English,2024-03-08,2025-01-01,Brazil,Latin America,Yes,Premium,Web,99,0,1,80631,90688,0.682,6.5,1224.85
74,SW0175,Second Summer,Movie,Documentary,English,2025-12-02,2025-01-01,Germany,Europe,No,Premium,Smart TV,137,0,1,485844,617335,0.556,7.7,8277.49
75,SW0063,Electric Promise 63,Movie,Thriller,Spanish,2025-01-29,2025-09-01,Mexico,Latin America,Yes,Standard,Game Console,85,0,1,35864,21714,0.427,6.4,420.69
76,SW0084,Last Promise,Movie,Documentary,Korean,2023-08-20,2025-05-01,Nigeria,Africa,Yes,Ad-Supported,Web,99,0,1,18174,21332,0.711,7.3,302.44
77,SW0080,Wild Promise,Series,Drama,English,2022-07-04,2025-10-01,Japan,Asia,Yes,Ad-Supported,Smart TV,29,4,11,48295,224770,0.875,6.5,874.74
78,SW0006,Golden Crown,Series,Crime,Korean,2022-09-02,2025-08-01,Mexico,Latin America,Yes,Standard,Mobile,50,4,7,38467,128452,0.572,6.9,450.13
79,SW0084,Last Promise,Movie,Documentary,Korean,2023-08-20,2025-06-01,India,Asia,Yes,Standard,Mobile,99,0,1,45808,46176,0.611,6.6,566.52
80,SW0163,Midnight Fire 163,Series,Animation,English,2025-10-14,2025-10-01,Mexico,Latin America,No,Premium,Mobile,55,4,9,347518,1840865,0.642,7.8,5520.5
81,SW0161,Midnight Crown 161,Movie,Action,Korean,2023-03-19,2025-08-01,Nigeria,Africa,Yes,Ad-Supported,Web,101,0,1,9779,10728,0.652,6.6,193.38
82,SW0110,Infinite Road,Movie,Animation,Japanese,2024-06-05,2025-02-01,Canada,North America,Yes,Premium,Mobile,130,0,1,121917,144207,0.546,6.6,2125.86
83,SW0080,Wild Promise,Series,Drama,English,2022-07-04,2026-02-01,South Korea,Asia,Yes,Standard,Tablet,29,4,11,28623,118982,0.782,6.7,327.35
84,SW0123,Midnight Fire 123,Movie,Romance,English,2022-02-11,2025-08-01,United States,North America,Yes,Ad-Supported,Game Console,93,0,1,287199,274875,0.617,7.3,5183.89
85,SW0011,Midnight Witness,Series,Romance,English,2022-06-08,2025-01-01,India,Asia,No,Standard,Mobile,36,4,6,69248,182083,0.73,6.8,905.7
86,SW0180,Second Summer 180,Movie,Comedy,English,2025-04-08,2025-01-01,Mexico,Latin America,No,Ad-Supported,Smart TV,138,0,1,145680,200968,0.6,6.8,2730.45
87,SW0123,Midnight Fire 123,Movie,Romance,English,2022-02-11,2025-11-01,United Kingdom,Europe,Yes,Ad-Supported,Smart TV,93,0,1,28270,25907,0.591,8.4,477.89
88,SW0135,Silent Summer,Series,Action,English,2025-07-12,2026-04-01,Spain,Europe,Yes,Ad-Supported,Smart TV,47,4,7,40057,178675,0.813,7.8,748.53
89,SW0108,Northern Summer 108,Series,Action,Spanish,2023-08-12,2025-06-01,Brazil,Latin America,No,Ad-Supported,Tablet,55,1,11,23024,177782,0.766,6.9,455.61
90,SW0094,Northern Promise 94,Series,Drama,English,2022-04-07,2025-01-01,South Korea,Asia,No,Ad-Supported,Web,55,2,11,26865,210057,0.775,6.6,499.11
91,SW0148,Crimson Road,Series,Crime,Spanish,2024-10-24,2025-05-01,Australia,Oceania,Yes,Standard,Smart TV,22,3,9,8467,19372,0.693,7.7,104.47
92,SW0063,Electric Promise 63,Movie,Thriller,Spanish,2025-01-29,2025-06-01,Mexico,Latin America,Yes,Premium,Smart TV,85,0,1,77892,71962,0.652,8.1,1155.07
93,SW0118,Wild Summer,Movie,Drama,English,2023-09-21,2025-02-01,Australia,Oceania,Yes,Ad-Supported,Mobile,90,0,1,23216,26202,0.752,6.3,435.81
94,SW0001,Midnight Promise,Series,Animation,Portuguese,2025-07-10,2025-03-01,United States,North America,No,Standard,Smart TV,44,3,12,139082,1076802,0.88,6.8,1805.5
95,SW0060,Hidden Code,Series,Sci-Fi,German,2023-10-26,2025-03-01,Nigeria,Africa,No,Premium,Mobile,62,1,10,51194,377010,0.713,8.0,871.4
96,SW0009,Electric Summer,Movie,Romance,English,2025-05-22,2025-08-01,South Africa,Africa,Yes,Standard,Smart TV,106,0,1,125246,146667,0.663,8.3,1475.14
97,SW0017,Second Fire,Series,Documentary,Japanese,2022-02-01,2025-04-01,Germany,Europe,No,Standard,Smart TV,24,3,7,19245,51294,0.952,6.5,236.21
98,SW0115,Broken Pulse 115,Series,Drama,Spanish,2025-04-26,2025-01-01,Mexico,Latin America,Yes,Ad-Supported,Game Console,48,4,7,265367,950514,0.64,7.9,4983.25
99,SW0045,Hidden Summer 45,Movie,Drama,Japanese,2024-02-29,2025-01-01,Germany,Europe,No,Ad-Supported,Smart TV,90,0,1,7056,7812,0.738,7.3,126.47
100,SW0104,Hidden Fire 104,Movie,Documentary,Hindi,2023-12-13,2026-03-01,Spain,Europe,No,Premium,Smart TV,90,0,1,31972,27486,0.573,7.1,498.15
101,SW0089,Hidden Road 89,Movie,Comedy,English,2022-06-18,2025-01-01,South Korea,Asia,Yes,Premium,Smart TV,131,0,1,18430,28620,0.711,7.4,303.92
102,SW0159,Silent Signal 159,Movie,Romance,English,2025-01-13,2026-03-01,United States,North America,Yes,Standard,Smart TV,81,0,1,58973,43825,0.55,7.7,720.47
103,SW0154,Broken Echo,Movie,Comedy,English,2022-09-14,2025-04-01,Brazil,Latin America,Yes,Standard,Game Console,112,0,1,19381,25348,0.701,7.7,210.23
104,SW0161,Midnight Crown 161,Movie,Action,Korean,2023-03-19,2025-02-01,United Kingdom,Europe,Yes,Standard,Smart TV,101,0,1,24706,27861,0.67,6.6,312.12
105,SW0096,Last Kingdom 96,Movie,Drama,English,2022-01-15,2025-10-01,France,Europe,Yes,Ad-Supported,Mobile,127,0,1,13592,19443,0.676,8.1,248.76
106,SW0001,Midnight Promise,Series,Animation,Portuguese,2025-07-10,2025-06-01,Australia,Oceania,No,Ad-Supported,Game Console,44,3,12,43783,262537,0.681,6.0,752.31
107,SW0162,Golden Witness 162,Movie,Crime,Japanese,2022-06-02,2025-08-01,United States,North America,No,Standard,Smart TV,114,0,1,75988,115740,0.802,6.9,848.5
108,SW0123,Midnight Fire 123,Movie,Romance,English,2022-02-11,2025-02-01,Brazil,Latin America,Yes,Standard,Mobile,93,0,1,54838,55383,0.652,8.7,663.75
109,SW0094,Northern Promise 94,Series,Drama,English,2022-04-07,2025-04-01,United States,North America,No,Standard,Web,55,2,11,60868,475746,0.775,7.1,677.24
110,SW0060,Hidden Code,Series,sci-fi,German,2023-10-26,2025-09-01,Spain,Europe,No,Ad-Supported,Smart TV,62,1,10,63517,482098,0.735,8.1,1170.8
111,SW0006,Golden Crown,Series,Crime,Korean,2022-09-02,2025-12-01,Mexico,Latin America,Yes,Premium,Mobile,50,4,7,56727,298119,0.901,7.7,869.08
112,SW0069,Midnight Signal,Movie,Crime,English,2024-03-31,2025-01-01,Mexico,Latin America,No,Standard,Smart TV,131,0,1,17047,22643,0.608,6.2,202.59
113,SW0012,Broken Crown,Movie,Crime,French,2022-04-02,2026-04-01,GERMANY,Europe,Yes,Ad-Supported,Web,148,0,1,42853,75835,0.717,7.4,794.55
114,SW0143,Midnight Pulse,Series,Action,Korean,2025-07-10,2025-07-01,South Korea,Asia,No,Ad-Supported,Smart TV,57,1,10,103950,788739,0.799,6.9,1939.82
115,SW0084,Last Promise,Movie,Documentary,Korean,2023-08-20,2026-04-01,Brazil,Latin America,Yes,Standard,Smart TV,99,0,1,47786,40646,0.516,7.8,598.82
116,SW0055,Last Signal,Series,Action,Spanish,2025-11-18,2025-04-01,Mexico,Latin America,No,Ad-Supported,Smart TV,59,2,8,118861,699297,0.748,8.3,2038.68
117,SW0099,Electric Code,Movie,Comedy,Spanish,2025-04-16,2026-01-01,South Korea,Asia,No,Standard,Mobile,110,0,1,18112,19256,0.58,7.6,223.17
118,SW0024,Infinite Echo,Movie,Action,English,2022-05-23,2025-05-01,Australia,Oceania,Yes,Standard,Smart TV,127,0,1,31126,53678,0.815,6.1,345.91
119,SW0098,Last Summer,Series,Animation,English,2023-11-06,2025-05-01,France,Europe,Yes,Standard,Smart TV,61,4,7,20698,141408,0.96,6.6,269.79
120,SW0089,Hidden Road 89,Movie,Comedy,English,2022-06-18,2026-06-01,United Kingdom,Europe,Yes,Ad-Supported,Smart TV,131,0,1,25490,33819,0.608,7.6,448.95
121,SW0052,Golden Echo,Series,Romance,English,2022-10-05,2025-12-01,Germany,Europe,No,Standard,Mobile,61,3,11,6052,44330,0.655,6.2,71.27
122,SW0031,Golden Code,Series,Thriller,Korean,2024-04-10,2026-03-01,Nigeria,Africa,No,Premium,Web,61,3,8,14978,115863,0.951,6.5,241.77
123,SW0128,Midnight Kingdom 128,Movie,Animation,English,2022-02-19,2025-11-01,Canada,North America,No,Standard,Game Console,141,0,1,19621,30762,0.667,7.8,244.46
124,SW0039,Hidden Summer,Movie,Drama,English,2025-03-06,2025-06-01,France,Europe,No,Standard,Mobile,106,0,1,36553,44193,0.684,6.3,403.95
125,SW0139,Second Signal 139,Series,Crime,Portuguese,2024-09-14,2025-11-01,France,Europe,Yes,Standard,Smart TV,29,2,10,65244,241765,0.767,8.5,860.01
126,SW0001,Midnight Promise,Series,Animation,Portuguese,2025-07-10,2025-07-01,India,Asia,No,Ad-Supported,Web,44,3,12,445220,2900342,0.74,7.2,7319.63
127,SW0070,Last Fire,Movie,Comedy,Spanish,2023-06-01,2026-01-01,United States,North America,Yes,Ad-Supported,Smart TV,141,0,1,5323,8719,0.697,6.3,104.19
128,SW0064,Broken Road,Series,Comedy,English,2025-07-17,2026-06-01,JAPAN,Asia,Yes,Standard,Game Console,47,4,7,26681,117196,0.801,7.0,303.71
129,SW0043,Broken Crown 43,Series,Comedy,Hindi,2023-09-28,2025-07-01,South Korea,Asia,Yes,Premium,Tablet,53,4,9,4721,30608,0.816,6.6,79.54
130,SW0113,Northern Witness 113,Movie,Drama,Spanish,2025-10-28,2026-03-01,France,Europe,Yes,Premium,Smart TV,103,0,1,54410,76505,0.819,7.4,808.89
131,SW0164,Electric Witness,Movie,Crime,Korean,2022-02-16,2026-02-01,France,Europe,Yes,Ad-Supported,Web,113,0,1,24258,25387,0.556,5.7,414.02
132,SW0012,Broken Crown,Movie,Crime,French,2022-04-02,2025-09-01,Japan,Asia,Yes,Standard,Smart TV,148,0,1,29125,62390,0.868,6.6,336.32
133,SW0151,Second Signal 151,Movie,Action,Spanish,2024-04-23,2025-04-01,Mexico,Latin America,No,Ad-Supported,Tablet,114,0,1,26272,29968,0.6,6.9,444.95
134,SW0086,Second Echo 86,Movie,Romance,Japanese,2024-09-20,2025-12-01,Germany,Europe,No,Standard,Game Console,109,0,1,41314,71202,0.949,7.8,467.65
135,SW0010,Hidden Witness,Series,Thriller,Hindi,2023-11-30,2025-05-01,Canada,North America,Yes,Ad-Supported,Mobile,33,3,11,24242,91704,0.625,6.7,412.02
136,SW0154,Broken Echo,Movie,Comedy,English,2022-09-14,2025-05-01,France,Europe,Yes,Ad-Supported,Tablet,112,0,1,30102,41933,0.746,7.8,559.17
137,SW0139,Second Signal 139,Series,Crime,Portuguese,2024-09-14,2025-04-01,Brazil,Latin America,Yes,Standard,Tablet,29,2,10,142555,537694,0.78,7.8,1814.17
138,SW0157,Northern Crown,Movie,Romance,French,2025-08-09,2025-08-01,Mexico,Latin America,Yes,Standard,Game Console,142,0,1,218167,322286,0.624,5.8,2789.9
139,SW0139,Second Signal 139,Series,Crime,Portuguese,2024-09-14,2025-10-01,Australia,Oceania,Yes,Premium,Game Console,29,2,10,26927,99297,0.763,6.6,398.0
140,SW0106,Broken Signal 106,Movie,Comedy,Japanese,2023-07-22,2026-06-01,Canada,North America,Yes,Standard,Smart TV,108,0,1,19910,20821,0.581,7.7,218.34
141,SW0058,Broken Kingdom 58,Series,Crime,Hindi,2023-10-11,2026-02-01,Spain,Europe,Yes,Premium,Mobile,42,1,10,15598,60293,0.552,7.2,231.59
142,SW0088,Broken Summer,Movie,Thriller,English,2022-07-15,2026-02-01,Germany,Europe,Yes,Standard,Smart TV,140,0,1,70446,124225,0.756,7.5,763.31
143,SW0110,Infinite Road,Movie,Animation,Japanese,2024-06-05,2025-06-01,India,Asia,Yes,Standard,Mobile,130,0,1,121189,184248,0.702,8.1,1537.74
144,SW0110,Infinite Road,Movie,Animation,Japanese,2024-06-05,2025-09-01,United States,North America,Yes,Standard,Web,130,0,1,110152,158776,0.665,6.8,1333.39
145,SW0032,Last Pulse,Series,Crime,Korean,2025-05-11,2025-02-01,United States,North America,Yes,Premium,Mobile,49,1,12,185541,1450250,0.798,6.4,3153.54
146,SW0180,Second Summer 180,Movie,Comedy,English,2025-04-08,2026-03-01,United States,North America,No,Standard,Mobile,138,0,1,47415,74326,0.682,6.9,608.21
147,SW0005,Wild Crown 5,Movie,Romance,English,2022-12-04,2025-09-01,Brazil,Latin America,Yes,Ad-Supported,Smart TV,81,0,1,55924,45419,0.602,7.5,913.12
148,SW0002,Wild Crown,Movie,Drama,English,2023-11-20,2025-06-01,Canada,North America,Yes,Premium,Smart TV,83,0,1,61198,46707,0.552,7.6,1036.99
149,SW0034,Broken Kingdom,Series,Comedy,French,2025-08-10,2026-02-01,Canada,North America,Yes,Standard,Smart TV,47,2,9,60274,282987,0.666,7.1,761.76
150,SW0012,Broken Crown,Movie,Crime,French,2022-04-02,2025-02-01,United States,North America,Yes,Ad-Supported,Mobile,148,0,1,57548,108379,0.763,6.4,1013.15
151,SW0163,Midnight Fire 163,Series,Animation,English,2025-10-14,2025-12-01,Germany,Europe,No,Standard,Smart TV,55,4,9,138941,957669,0.835,7.7,1602.24
152,SW0073,Crimson Signal,Series,Action,English,2025-03-03,2025-01-01,Brazil,Latin America,Yes,Standard,Tablet,37,3,10,612981,3628847,0.96,7.1,6964.06
153,SW0172,Last Fire 172,Series,Animation,Korean,2022-12-27,2026-05-01,Mexico,Latin America,No,Ad-Supported,Mobile,39,2,8,21320,102216,0.922,7.6,388.84
154,SW0047,Hidden Fire,Series,Sci-Fi,English,2023-11-26,2026-06-01,Brazil,Latin America,No,Standard,Mobile,36,1,6,9853,27172,0.766,6.2,126.33
155,SW0086,Second Echo 86,Movie,Romance,Japanese,2024-09-20,2025-07-01,Spain,Europe,No,Premium,Mobile,109,0,1,21344,26367,0.68,6.6,356.53
156,SW0061,Midnight Fire,Series,Sci-Fi,Korean,2024-12-28,2025-06-01,Canada,North America,Yes,Premium,Game Console,56,2,11,46735,299628,0.624,6.7,724.84
157,SW0057,Broken Fire,Movie,Crime,English,2022-12-03,2026-06-01,Nigeria,Africa,Yes,Standard,Web,114,0,1,29689,48289,0.856,7.9,371.81
158,SW0010,Hidden Witness,Series,Thriller,Hindi,2023-11-30,2026-05-01,India,Asia,Yes,Premium,Mobile,33,3,11,58454,289791,0.819,6.6,1009.23
159,SW0149,Golden Witness,Movie,Action,English,2023-12-26,2025-05-01,Spain,Europe,Yes,Ad-Supported,Web,134,0,1,13276,19732,0.666,6.1,228.4
